Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B2,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Risk
0.03517241379310345,23,4.18,0.6,2.508,2.5,0.2,0.0006589542659381268,0.005264360750565446,5.0,0.2,1.0,0.0036148572773066104,0.2,0.676,2,0.2,0.4,0,0.2,0.0,2.4,0.008969047160635209,0.4,0.5,1
0.03517241379310345,6,0.0,0.2,0.0,4.83,0.2,0.001273099641792461,0.003806416530723219,5.0,0.2,1.0,0.0010053153374758028,0.2,0.188,2,0.2,0.4,0,0.2,0.0,2.0,0.001442748874180796,0.4,0.5,0
0.03517241379310345,6,0.51,0.2,0.102,0.23,0.2,6.062379246630767e-05,0.0005831776879368907,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,0.00018503191800585617,0.4,0.5,0
0.03517241379310345,6,0.0,0.2,0.0,10.8,0.6,0.008540047286558125,0.00851124193205192,6.0,0.6,3.6,0.012566441718447537,0.6,7.05,2,0.2,0.4,0,0.2,0.0,4.4,0.020165978631313905,0.4,0.5,1
0.03517241379310345,6,0.0,0.2,0.0,0.08,0.2,2.108653651002006e-05,6.304623653371791e-05,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,2.0003450595227696e-05,0.4,0.5,0
0.03517241379310345,6,0.0,0.2,0.0,0.83,0.2,0.00021877281629145812,0.0006541047040373233,5.0,0.2,1.0,0.0031549789846315093,0.2,0.59,2,0.2,0.4,0,0.2,0.0,2.0,0.000945163040624508,0.4,0.5,0
0.03517241379310345,7,1.1,0.4,0.44,7.41,0.4,0.0039062808884812155,0.006706543411274243,5.0,0.2,1.0,0.04807332385057164,0.6,26.97,2,0.2,0.4,0,0.2,0.0,3.2,0.037974050523715344,0.4,0.5,1
0.03517241379310345,8,8.5,0.6,5.1,12.03,0.6,0.0095126637830828,0.01617924045046536,5.5,0.4,2.2,0.008331283488230324,0.4,3.116,2,0.2,0.4,0,0.2,0.0,4.2,0.020796087325063575,0.4,0.5,1
0.03517241379310345,8,8.4,0.6,5.04,11.05,0.6,0.008737733566339561,0.015328116257260167,5.5,0.4,2.2,0.007850015507523823,0.4,2.936,2,0.2,0.4,0,0.2,0.0,4.2,0.01976090875676054,0.4,0.5,1
0.03517241379310345,8,3.98,0.6,2.388,0.99,0.2,0.00026094588931149825,0.003916747444657225,5.0,0.2,1.0,0.002064104895030106,0.2,0.386,2,0.2,0.4,0,0.2,0.0,2.4,0.003715640948063541,0.4,0.5,0
0.03517241379310345,8,5.43,0.6,3.258,10.77,0.6,0.00851632493298435,0.012766862898077876,5.0,0.2,1.0,0.004727121054939414,0.2,0.884,2,0.2,0.4,0,0.2,0.0,3.6,0.013257286881987143,0.4,0.5,1
0.03517241379310345,8,15.38,0.6,9.228,40.14,0.6,0.03174050908170769,0.04375408815440023,5.0,0.2,1.0,0.001026705025507203,0.2,0.192,2,0.4,0.8,1,0.4,0.4,4.0,0.04288739807616814,1.2,0.5,1
0.03517241379310345,8,5.47,0.6,3.282,7.63,0.4,0.004022256839286326,0.010323821232396307,5.0,0.2,1.0,0.011154722308375132,0.6,6.258,2,0.2,0.4,1,0.4,0.4,3.6,0.016242801883324873,0.8,0.5,1
0.03517241379310345,8,1.09,0.4,0.436,0.35,0.2,9.225359723133776e-05,0.0011348322576069225,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,0.0006326091250740754,0.4,0.5,0
0.03517241379310345,8,0.0,0.2,0.0,0.84,0.2,0.00022140863335521062,0.000661985483604038,5.0,0.2,1.0,7.486390810990022e-06,0.2,0.0014,2,0.2,0.4,0,0.2,0.0,2.0,0.00021178653317697303,0.4,0.5,0
0.03517241379310345,13,1.95,0.4,0.78,9.01,0.4,0.004749742348882018,0.008637334405119355,5.0,0.2,1.0,0.009625359614130028,0.4,3.6,2,0.2,0.4,0,0.2,0.0,3.0,0.00998172184701861,0.4,0.5,1
0.03517241379310345,37,8.54,0.6,5.124,31.63,0.6,0.025011268117947544,0.03165709151949311,5.0,0.2,1.0,0.044148316096809734,0.6,24.768,2,0.2,0.4,1,0.4,0.4,4.2,0.06159812567667924,0.8,0.5,1
0.03517241379310345,37,4.18,0.6,2.508,4.83,0.2,0.001273099641792461,0.00710058238960998,5.5,0.4,2.2,0.015004866154027144,0.6,8.418,2,0.2,0.4,0,0.2,0.0,3.2,0.016367823449545047,0.4,0.5,1
0.03517241379310345,37,1.81,0.4,0.724,1.03,0.2,0.0002714891575665082,0.0022381413969469856,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,0.001162700565847609,0.4,0.5,0
0.03517241379310345,37,4.86,0.6,2.916,46.78,0.6,0.03699105667270269,0.040696345682514914,5.5,0.4,2.2,0.0675700244911928,0.6,37.908,2,0.2,0.4,0,0.2,0.0,4.4,0.08763011619504364,0.4,0.5,1
0.03517241379310345,24,6.26,0.6,3.756,14.1,0.6,0.011149506179673106,0.016045267197831208,5.0,0.2,1.0,0.03661914590975691,0.6,20.544,2,0.2,0.4,1,0.4,0.4,4.2,0.04145715135860937,0.8,0.5,1
0.03517241379310345,3,0.02,0.2,0.004,5.94,0.4,0.0031313506717379784,0.0046969446217619846,5.0,0.2,1.0,1.0694844015700032e-05,0.2,0.002,2,0.2,0.4,0,0.2,0.0,2.6,0.0029780137073645205,0.4,0.5,0
0.03517241379310345,3,5.31,0.6,3.186,22.79,0.6,0.01802108126487589,0.022144990582468417,5.0,0.2,1.0,0.21944750435814894,0.6,123.114,2,0.2,0.4,1,0.4,0.4,4.2,0.1754977733659056,0.8,0.5,1
0.03517241379310345,3,0.94,0.2,0.188,0.01,0.2,2.6358170637525074e-06,0.0007486740588379001,5.0,0.2,1.0,0.00010694844015700032,0.2,0.02,2,0.2,0.4,0,0.2,0.0,2.0,0.0002625452890623635,0.4,0.5,0
0.03517241379310345,4,5.78,0.6,3.468,57.92,0.6,0.04579995729976357,0.05020056583997289,5.0,0.2,1.0,0.011935445921521235,0.6,6.696,2,0.2,0.4,0,0.2,0.0,4.0,0.0561546866834529,0.4,0.5,1
0.03517241379310345,4,7.42,0.6,4.452,2.24,0.2,0.0005904230222805616,0.007612833061446438,5.0,0.2,1.0,0.001336855501962504,0.2,0.25,2,0.2,0.4,0,0.2,0.0,2.4,0.006438610660338909,0.4,0.5,1
0.03517241379310345,4,0.0,0.2,0.0,1.1,0.2,0.0002899398770127758,0.0008668857523386214,5.0,0.2,1.0,7.486390810990022e-06,0.2,0.0014,2,0.2,0.4,0,0.2,0.0,2.0,0.00027679774761146304,0.4,0.5,0
0.03517241379310345,14,6.85,0.6,4.11,31.76,0.6,0.025114064983433892,0.030427689907085605,5.0,0.2,1.0,0.0015614472262922045,0.2,0.292,2,0.2,0.4,0,0.2,0.0,3.6,0.02932755900392818,0.4,0.5,1
0.03517241379310345,14,0.0,0.2,0.0,1.03,0.2,0.0002714891575665082,0.0008117202953716182,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,0.0002575444264135566,0.4,0.5,0
0.03517241379310345,37,0.0,0.2,0.0,0.75,0.2,0.00019768627978143804,0.0005910584675036054,5.0,0.2,1.0,0.007251104242644622,0.4,2.712,2,0.2,0.4,0,0.2,0.0,2.2,0.0035781172252213503,0.4,0.5,0
0.03517241379310345,37,2.4,0.6,1.44,16.63,0.6,0.01315009133106126,0.01499712351545815,5.0,0.2,1.0,0.0012406019058212034,0.2,0.232,2,0.2,0.4,0,0.2,0.0,3.6,0.014565012464650154,0.4,0.5,1
0.03517241379310345,5,0.0,0.2,0.0,0.05,0.2,1.3179085318762536e-05,3.94038978335737e-05,5.0,0.2,1.0,0.16300011764328418,0.6,91.446,2,0.2,0.4,0,0.2,0.0,2.4,0.11433972360232139,0.4,0.5,1
0.03517241379310345,5,0.0,0.2,0.0,1.76,0.2,0.00046390380322044127,0.001387017203741794,5.0,0.2,1.0,0.0011550431536956035,0.2,0.216,2,0.2,0.4,0,0.2,0.0,2.0,0.0007101224961305827,0.4,0.5,0
0.03517241379310345,5,0.0,0.2,0.0,2.97,0.2,0.0007828376679344946,0.0023405915313142777,5.0,0.2,1.0,0.003037335700458809,0.2,0.568,2,0.2,0.4,0,0.2,0.0,2.0,0.0014527505994784099,0.4,0.5,0
0.03517241379310345,5,0.0,0.2,0.0,0.43,0.2,0.0001133401337413578,0.0003388735213687338,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,0.00010751854694934886,0.4,0.5,0
0.03517241379310345,5,0.0,0.2,0.0,0.94,0.2,0.0002477668039927357,0.0007407932792711854,5.0,0.2,1.0,0.0009625359614130029,0.2,0.18,2,0.2,0.4,0,0.2,0.0,2.0,0.00046007936369023674,0.4,0.5,0
